full_name,affilitation,code,family_name,wage,declaration_web
PESCO Daniele,M5S,29527,Pesco,97211,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pesco_2021.pdf?
PETRENGA Giovanna,FdI,25429,Petrenga,129592,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Petrenga_2021.pdf?
PETROCELLI Vito Rosario,UpC-CAL-Alt-PC-AI-Pr.SMART-IdV,29161,Petrocelli,103222,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Petrocelli_2021.pdf?
PIANASSO Cesare,L-SP-PSd'Az,32751,Pianasso,105324,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Pianasso_2021.pdf?
QUAGLIARIELLO Gaetano,Misto,18715,Quagliariello,92892,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Quagliariello_2021.pdf?
QUARTO Ruggiero,M5S,32698,Quarto,100555,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Quarto_2021.pdf?
RAMPI Roberto,PD,29552,Rampi,105653,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rampi_2021.pdf?
RAUTI Isabella,FdI,32699,Rauti,139340,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rauti_2021.pdf?
RENZI Matteo,IV-PSI,30742,Renzi,517391,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Renzi_2021.pdf?
RICCARDI Alessandra,L-SP-PSd'Az,32700,Riccardi,99699,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Riccardi_2021.pdf?
RICCIARDI Sabrina,M5S,32701,Ricciardi,105017,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ricciardi_2021.pdf?
RICHETTI Matteo,Misto,29555,Richetti,98047,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Richetti_2021.pdf?
RIPAMONTI Paolo,L-SP-PSd'Az,32702,Ripamonti,102521,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Ripamonti_2021.pdf?
RIVOLTA Erica,L-SP-PSd'Az,25415,Rivolta,108077,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rivolta_2021.pdf?
RIZZOTTI Maria,FIBP-UDC,25198,Rizzotti,109076,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rizzotti_2021.pdf?
ROJC Tatjana,PD,32703,Rojc,100026,http://senato.it/application/xmanager/projects/leg18/file/repository/documentaz_patr_17/2021/Rojc_2021.pdf?
